Week,Topic,Target Keyword,Content Type,Priority,Status
1,RGPV B.Tech CSE 7th Sem Syllabus,rgpv cse 7th sem syllabus,Syllabus Page,High,Pending
1,Machine Learning Unit 1 Notes,machine learning unit 1 notes rgpv,Unit Page,High,Pending
2,Cloud Computing Unit 1 Notes,cloud computing unit 1 notes rgpv,Unit Page,High,Pending
2,RGPV B.Tech CSE 5th Sem Syllabus,rgpv cse 5th sem syllabus,Syllabus Page,High,Pending
3,Data Structures Unit 1 Notes,data structures unit 1 notes rgpv,Unit Page,High,Pending
3,RGPV Previous Year Papers CSE 7th Sem,rgpv pyq cse 7th sem,PYQ Collection,High,Pending
4,Operating Systems Unit 1 Notes,operating systems unit 1 notes rgpv,Unit Page,Medium,Pending
4,RGPV Previous Year Papers CSE 5th Sem,rgpv pyq cse 5th sem,PYQ Collection,High,Pending
5,Machine Learning Unit 2 Notes,machine learning unit 2 notes rgpv,Unit Page,Medium,Pending
5,Cloud Computing Unit 2 Notes,cloud computing unit 2 notes rgpv,Unit Page,Medium,Pending
6,How to Download RGPV Admit Card,rgpv admit card download,Blog Post,Low,Pending
6,RGPV Grading System Explained,rgpv grading system,Blog Post,Low,Pending
7,Data Structures Unit 2 Notes,data structures unit 2 notes rgpv,Unit Page,Medium,Pending
7,DBMS Unit 1 Notes,dbms unit 1 notes rgpv,Unit Page,Medium,Pending
8,Machine Learning Unit 3 Notes,machine learning unit 3 notes rgpv,Unit Page,Medium,Pending
8,Cloud Computing Unit 3 Notes,cloud computing unit 3 notes rgpv,Unit Page,Medium,Pending
9,RGPV Exam Time Table Dec 2025,rgpv time table,News Update,High,Pending
9,Computer Networks Unit 1 Notes,computer networks unit 1 notes rgpv,Unit Page,Medium,Pending
10,Data Structures Unit 3 Notes,data structures unit 3 notes rgpv,Unit Page,Medium,Pending
10,DBMS Unit 2 Notes,dbms unit 2 notes rgpv,Unit Page,Medium,Pending
11,Machine Learning Unit 4 Notes,machine learning unit 4 notes rgpv,Unit Page,Medium,Pending
11,Cloud Computing Unit 4 Notes,cloud computing unit 4 notes rgpv,Unit Page,Medium,Pending
12,RGPV Result Date 2025,rgpv result date,News Update,High,Pending
12,Data Structures Unit 4 Notes,data structures unit 4 notes rgpv,Unit Page,Medium,Pending
